"heightagegroups","SEX","name","prev_less18.5","prev_18.5to20","prev_20to25","prev_25to30","prev_30to35","prev_35to40","prev_over40","TOTPOP","Age group (IL3)","Age group (IL)","code.x","meanheight","sdheight","region"
"70-79",0,"Sierra Leone",0.15214598978114,0.122730212627323,0.476180189962858,0.151196921028203,0.0666409528987792,0.0188533025398145,0.0122524313790813,67.4565,"70-79","70-79",694,157.4316783,6.94453023596912,"AFRICA"
"70-79",0,"Singapore",0.0556137861677388,0.0725019887424089,0.43842742858909,0.324348361275298,0.0859794508351923,0.0177271908514114,0.00540179353886023,165.6385,"70-79","70-79",702,158.3519582,5.58433638024338,"ASIA"
"70-79",0,"Slovakia",0.00545383055744348,0.0108827293869236,0.159118461727053,0.393671781846402,0.291673156634528,0.10300706609095,0.0361929743566796,259.7205,"70-79","70-79",703,165.2974247,6.53503827682888,"EUROPE"
"70-79",0,"Slovenia",0.00371733207009861,0.00817916177928515,0.275672427114296,0.466324136601064,0.161211055009615,0.0482234764072226,0.036672411601695,103.8965,"70-79","70-79",705,165.4230401,6.47921942977585,"EUROPE"
"70-79",0,"Solomon Islands",0.104873443627669,0.0810426109541185,0.362275259735502,0.236273061071811,0.113303577108532,0.0738074164404938,0.0284246310618741,6.4405,"70-79","70-79",90,154.3332971,6.74416380088281,"OCEANIA"
"70-79",0,"Somalia",0.114749028350754,0.102428646122229,0.300093526439607,0.266214419970282,0.157547715162921,0.0388668360487117,0.0200998275585955,112.355,"70-79","70-79",706,159.5869597,6.40975234100294,"AFRICA"
"70-79",0,"South Africa",0.022346204905295,0.0313649980929938,0.183983633882956,0.273378258895081,0.252418385847053,0.147505048555337,0.0890034694528474,998.1685,"70-79","70-79",710,158.3823571,7.77924295180032,"AFRICA"
"70-79",0,"Spain",0.00839116702237922,0.0180096188141012,0.250318064053116,0.42106243620053,0.206737833971513,0.067691289549208,0.0277895903891527,2268.0195,"70-79","70-79",724,161.5489931,6.47921942977585,"EUROPE"
"70-79",0,"Sri Lanka",0.140818769223254,0.0823772686994204,0.34209030144014,0.337039674012056,0.0784508018825609,0.0127259884496862,0.00649719689551772,725.099,"70-79","70-79",144,152.6982704,6.10091406216014,"ASIA"
"70-79",0,"Sudan",0.118703572197107,0.111159697971211,0.27190972980168,0.271957874401807,0.135998296518195,0.058019709441785,0.0322511193208527,296.7405,"70-79","70-79",729,160.2218016,6.03470993031351,"AFRICA"
"70-79",0,"Suriname",0.0365915569203894,0.0338329334611507,0.213863859798888,0.321065772175039,0.210325775197462,0.111378472037719,0.0729416295701373,11.506,"70-79","70-79",740,159.3875303,6.30024048923408,"LATIN AM. CARIBBEAN"
"70-79",0,"Swaziland",0.0544187235783349,0.0293673816967633,0.181329764000636,0.22282259126406,0.263012802700019,0.129832126346492,0.119216609821441,13.3625,"70-79","70-79",748,158.5323684,7.76924621883662,"AFRICA"
"70-79",0,"Sweden",0.0113180662419503,0.0315074610514422,0.352240569002271,0.400845911935477,0.148211499710567,0.0433327229782066,0.0125437685961996,527.476,"70-79","70-79",752,165.5757234,6.56012988491876,"EUROPE"
"70-79",0,"Switzerland",0.0284735504387057,0.0726058010034843,0.454947830018056,0.296367819548285,0.105370646328524,0.0346275389859578,0.00760681414886846,400.649,"70-79","70-79",756,163.7850002,6.47921942977585,"EUROPE"
"70-79",0,"Syrian Arab Republic",0.00680368978652446,0.00794850572014929,0.138637882336421,0.278916805708774,0.330067518336609,0.149572373356508,0.0880532247550142,260.8355,"70-79","70-79",760,156.4702368,6.29889169817741,"ASIA"
"70-79",0,"TFYR Macedonia",0.00849611769188068,0.00881825090499245,0.144931222337877,0.369553941907322,0.282784881160767,0.122167601933877,0.0632479832786888,82.4145,"70-79","70-79",807,160.5336767,6.47921942977585,"EUROPE"
"70-79",0,"Tajikistan",0.0191492155364238,0.0243927577036179,0.169765953945193,0.259673094591492,0.331927173738003,0.128077469136169,0.0670143350441392,76.6325,"70-79","70-79",762,156.8122727,5.89514822249162,"ASIA"
"70-79",0,"Thailand",0.0740375514381509,0.0693003351446057,0.429115288430054,0.323087684319991,0.0862365066689288,0.0157259798153038,0.00249665358406966,2436.5955,"70-79","70-79",764,154.5863668,5.65931166561312,"ASIA"
"70-79",0,"Timor-Leste",0.352266199227604,0.135191260834846,0.421438409970721,0.0724905717604356,0.0153090398667264,0.00250373863422474,0.000800611156057989,22.8665,"70-79","70-79",626,149.8696817,5.70873983867919,"ASIA"
"70-79",0,"Togo",0.191464057076005,0.0984121183961958,0.315464358361762,0.212567781748346,0.120374567371395,0.0426946339072397,0.0190224821390575,69.2915,"70-79","70-79",768,158.3509828,6.94453023596912,"AFRICA"
"70-79",0,"Tonga",0.00495881412226437,0.00783392274175664,0.0555585029944558,0.186801592161657,0.363190543105632,0.180353089135979,0.201303535310476,1.7135,"70-79","70-79",776,163.358956,6.74416380088281,"OCEANIA"
"70-79",0,"Trinidad and Tobago",0.0468874985327694,0.0304448298319235,0.264692904576884,0.3460303104866,0.178194234259941,0.0903489867070124,0.0434012362355127,44.2715,"70-79","70-79",780,159.5750019,6.66815702884516,"LATIN AM. CARIBBEAN"
